nombre,ironhacker,artista(s),id_lista,lista,letra
Perra,1143571176,['Rigoberta Bandini'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,"[Letra de ""Perra""]

[Intro: J Balvin]
Loco calla'o, no ando ladrando
Una mala en calor e' lo que yo ando buscando

[Refrán: Tokischa & J Balvin]
Vamo' a enca—Vamo' a encantarno' como perro' viralata'
Soy perra callejara con la popola de raza
Te come' esta purina, vamo' pa' la perrera
Quedémono' engancha'o en medio de la carretera (Ey, ey, ey)

[Coro: Tokischa & J Balvin]
Yo-Yo soy una perra en calor
'Toy buscando un perro pa' quedarno' pegao'
Ey, eres una perra en calor (Ajá)
Que está buscando un perro pa' quedarte pegá'
Yo soy una perra en calor
'Toy buscando un perro pa' quedarno' pеgao'
Ey, eres una perra еn calor (Ajá)
Que está buscando un perro pa' quedarte pegá' (Ja, ey, ey)

[Verso 1: J Balvin & Tokischa, Ambos]
Cuida'o, que este perro anda sin bozal (Yeah)
No me puse la vacuna, esta noche 'toy animal
Con rabia, parcero, fue que la salpiqué
Bajamo' trucho de Colombia pa' RD
Loco calla'o, no ando ladrando
Una mala en calor e' lo que yo ando buscando (Yeah)
Te pongo en cuatro pata', tú ere' perra, no ere' gata (Miau)
Sé que ere' wa wa wa (Ay), pero no ere' viralata
Tú ere' raza rulay, bebe Jumbo light
Te ladro al DM y de una me cae'
Te freno en Lo' Mina y te llevo a Dubái
Me encanto contigo hasta en Washington Height'
[Puente: Tokischa]
Yo, yo, yo, yo
Yo, yo, yo, yo

[Coro: Tokischa & J Balvin]
Yo soy una perra en calor
'Toy buscando un perro pa' quedarno' pegao'
Ey, eres una perra en calor (Ajá)
Que está buscando un perro pa' quedarte pegá'
Yo soy una perra en calor
'Toy buscando un perro pa' quedarno' pegao'
Ey, eres una perra en calor (Ajá)
Que está buscando un perro pa' quedarte pegá'

[Refrán: Tokischa]
Vamo' a encantarno' como perro' viralata'
Soy perra callejera con la popola de raza
Te come' esta purina (Ah), vamo' pa' la perrera (Ajá)
Quedémono' engancha'o en medio de la carretera

[Verso 2: Tokischa]
'Toy en celo, 'toy en calor (Yeah)
Yo me abro en cuatro pata', métanme un ventilador
Vamo' pa' Colombia a capea' blune' de sabore'
Pa' cuando te arrebate' la leche salga en colore' (En colore')
Me pusieron un bozal porque estoy muy animal (Ajá)
Tengo la rabia canina, calentura vaginal
Me tiene' que castigar y me tiene' que enjaular (Ah)
Con quince perrita' puppy y siete lassie' wa wa wa
[Coro: Tokischa & J Balvin]
Yo soy una perra en calor
'Toy buscando un perro pa' quedarno' pegao'
Ey, eres una perra en calor (Ajá)
Que está buscando un perro pa' quedarte pegá' (Prra)
Yo soy una perra en calor
'Toy buscando un perro pa' quedarno' pegao'
Ey, eres una perra en calor (Ajá; perra)
Que está buscando un perro pa' quedarte pegá' (Ah, ah)

[Outro: Tokischa]
Mmm
Tokischa, Tokischa
Paulus Music
Leo, Leónidas Trujillo
De Lo' Guandule' pa' Colombia
Latino Gang
J Balvin, man, ¡ah!
Mmm, leche, leche"
Colectivo Nostalgia,1143571176,['La Maravillosa Orquesta del Alcohol'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,"[Letra de “Colectivo Nostalgia” por La Maravillosa Orquesta del Alcohol]

Solo
Creo que lo he perdido todo
La vida es suficientemente contundente
Como para andar llorando por ahí

Somos
Ingobernables por el oro
Nuestra esperanza es suficiente para verte
Cada noche, aunque ya te fuiste

Vuelo
Con mis cadenas sobre el cielo
Lo dijo el Migue que nos quieren amarrar
Pero el collar nos queda grande y el bozal

Si, alguna vez, me ves caer preocúpate por si miento
Siento que pertenezco a este momento
El mundo es un lugar inhóspito y cruel
Y ya no espero casi nada del rival

Lento
Esto es el puro sentimiento
Es como un gol en el descuento
Que nació de las entrañas y te llega al corazón

Nunca
Nunca me voy a rendir, nunca
Por muy maldita que sea la maldición
Que nos echaron sin ninguna concesión

Si, alguna vez, me ves caer preocúpate por si miento
Solo
Creo que lo he perdido todo
Todo
Creo que lo he perdido todo
Todo
Creo que lo he perdido todo
Todo
Creo que lo hemos perdido todo
Todo
Creo que lo he perdido todo
Todo
Creo que lo hemos perdido todo
Todo, todo
Creo que lo he perdido todo
Todo
Creo que lo hemos perdido todo
Todo, todo
Creo que lo hemos perdido todo
Todo
Creo que lo hemos perdido todo
Creo que todo
Creo que todo
Creo que lo hemos perdido todo
Creo que lo he perdido todo"
Cumpleaños Feliz,1143571176,['Parchis'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,Lyrics for this song have yet to be released. Please check back once the song has been released.
Que se joda el viento,valledelkas018,['Marea'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,"[Letra de ""buzóndevoz""]

[Intro: MDA & Jexer]
Uh-uh, uh-uh-uh-uh
Ah, no, no
Ah-ha
Okay (Uh)

[Estribillo: Jexer]
El cenicero está lleno, ya toca vaciarlo (Ah-ah)
Mis huevos están bien llenos, te toca vaciarlos (Ah-ah)
El cenicero está lleno, te toca vaciarlo (Ah-ah)
Mis huevos están bien llenos, ya toca vaciarlos

[Post-Estribillo: MDA & Jexer]
Lo intenté en verda' y te fuiste (Ja; y te fuiste)
Tenía una venda, me vendiste (Ja, ho; me vendiste)
Estás en deuda con lo que fuiste (Con lo que fuiste)
Yo te jalaba fast como un Foster (Oh, wow)
Tú querías un dedal y ni coses (Y ni coses)
Fuera de mi portal, no te pases (Largo de aquí; no te pases)
Huh, no te pases (Huh-oh), oh-oh (Yeah, ho)

[Verso 1: Jexer]
Me jodes más que el humo que me entra en el ojo cuando fumo
Dame paz, con las energías feas yo me esfumo
Soy de los que a veces se espanta
En el momento menos oportuno (Ay, joder)
Cae la ceniza en la manta
Limpio la corrida en su espalda
Follamos, le duele la espalda
El viento le sube la falda
En cada ser hay algo de maldad (De maldad)
El día no fue tan mal en verdad
Y aunque le joda, el sol te tiene envidia

[Refrán: Mda]
Y los vecinos saben mi nombre y no es por el buzón (No es por el buzón)
Es porque lo gemiste y escucharon tu voz (Tu voz)
Y cuando me lo mamaste entendí que este es tu don (Ha)
To' ese mal humor ahora es en tu toto sudor

[Estribillo: Jexer]
El cenicero está lleno, ya toca vaciarlo
Mis huevos están bien llenos, te toca vaciarlos
El cenicero está lleno, te toca vaciarlo (Ah-ah)
Mis huevos están bien llenos, ya toca vaciarlos

[Puente: MDA & Jexer]
Te toca vaciarlos, te toca vaciarlos
Te toca vaciarlos, te toca vaciarlos (Oh-oh, auh)
Te toca besarlos (Oh-oh, auh; ambeats)

[Verso 2: Mda]
Te toca mamármelo pa' vacilarlo
Soy como Gastly, no puedo verte
Estoy al otro la'o viendo la luz verde
Solo intento contar lo que se siente (Oh-oh)
Cuando te miro te siento ausente (Oh-oh)
No sé por qué dijiste para siempre
Si siempre que estás el reloj se para (Prff)
Me dijiste que eras una salida
Pues mira mi bicho, también se me para

[Refrán: Jexer & MDA, Jexer]
Y los vecinos saben mi nombre y no es por el buzón
Es porque lo gemiste y escucharon tu voz
Cuando me lo mamaste entendí que este es tu don
To' ese mal humor ahora es en tu toto sudor

[Estribillo: Jexer]
El cenicero está lleno, ya toca vaciarlo
Mis huevos están bien llenos, te toca vaciarlos
El cenicero está lleno, te toca vaciarlo
Mis huevos están bien llenos, ya toca vaciarlos

[Post-Estribillo: MDA & Jexer, Ambos]
Lo intenté en verda' y te fuiste (Y te fuiste)
Tenía una venda, me vendiste (Me vendiste)
Estás en deuda con lo que fuiste (Con lo que fuiste)
Yo te jalaba fast como un Foster (Como un Foster)
Tú querías un dedal y ni coses (Y ni coses)
Fuera de mi portal, no te pases (No te pases)
Huh, no te pases, huh-oh (Bye bye)"
Gravity,edurriva,['John Mayer'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,"[Verse 1]
Something always brings me back to you
It never takes too long
No matter what I say or do
I'll still feel you here until the moment I'm gone
You hold me without touch
You keep me without chains
I never wanted anything so much
Than to drown in your love and not feel your rain

[Chorus]
Set me free
Leave me be
I don't wanna fall another moment into your gravity
Here I am and I stand so tall, just the way I'm supposed to be
But you're on to me and all over me

[Verse 2]
Oh, you loved me 'cause I'm fragile
When I thought that I was strong
But you touch me for a little while
And all my fragile strength is gone

[Chorus]
Set me free
Leave me be
I don't wanna fall another moment into your gravity
Here I am and I stand so tall, just the way I'm supposed to be
But you're on to me and all over me
[Verse 3]
I live here on my knees
As I try to make you see
That you're everything I think I need here on the ground
But you're neither friend nor foe
Though I can't seem to let you go
The one thing that I still know is that you're keeping me down

[Bridge]
You're keeping me down, yeah, yeah, yeah, yeah
You're on to me, on to me, and all over

[Outro]
Something always brings me back to you
It never takes too long"
Emborracharme,1143571176,['Lori Meyers'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,"Empiezo a quererte
Empiezo a pensar
Que no hay un día
Que no quiera verte
Y demostrar
Todo el amor
Que te mereces
Y vestiré como tú digas
Iré más decente
Para poder
Ir a esos sitios
Deprimentes
Haré de escoba
Y de felpudo
Haré de sirviente
Y triturar mi corazón
Con ingredientes

Y beber todo ese batido
Acompañarlo después
Con vino
Beber hasta emborracharme
Hasta caer rendido
Y levantarme

Me levanté tarde
Y la resaca
Que ahora tengo
Me impide llamarte
Y con las ganas
Que ahora tengo
De follarte
Y me has mandado algún
Mensaje
Que vi tarde
No va el WhatsApp
No carga el vídeo
Que mandaste

Y beber todo ese batido
Acompañarlo después
Con vino
Beber hasta emborracharme
Hasta caer rendido
Y levantarme

Sigo aún borracho perdido
Pero me atrevo
A contarte
Que yo no puedo
Ser tu amigo

Y beber todo ese batido
Acompañarlo después
Con vino
Beber hasta emborracharme
Hasta caer rendido
Y levantarme

Sigo aún borracho perdido
Pero me atrevo
A contarte
Que yo no quiero
Ser tu amante

Y yo sigo aún borracho perdido
Pero me atrevo
A contarte
Que yo no quiero
Ser tu amante

Y aquí sigo aún borracho perdido
Pero me atrevo
A contarte
Que no quiero
Ser tu amante

Yo no quiero
Ser tu amante"
Jaleo,1143571176,['Sexy Zebras'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,"[Letra de ""Jaleo""]

[Intro: Nicky Jam]
Hey, yo'
Nicky Jam
Steve Aoki
Woo!
Yeah
Vamos a darle a esto

[Verso 1: Nicky Jam]
Si tú estás molesto
Sácalo del cuerpo
Olvida to' lo malo
Ya no 'tamos  pa' ese cuento
¿Por qué no te tomas algo que te quite eso?
Busca quién te guste para que le robes un beso
Baila con el ritmo y no te quede atrás
Moviendo tu cuerpo dale duro y traa
El corazón se te acelera, la presión aumenta
Y el DJ pone las luces pa' que to' se prenda

[Pre-Coro: Nicky Jam]
Hay que tomar y no vamo' a parar
¿Quién quiere gozar?
Gritar y bailar
Y que no importe lo que te dirán
La vida es corta
No vamo' a parar

[Coro: Nicky Jam]
Échale la culpa al alcohol
Échale la culpa al alcohol
Échale la culpa al alcohol

[Verso 2: Nicky Jam]
Tienes mucha ropa
Me llevo esa loca
Mami, a mí me gusta cuando mueves esa nalgota
Me gustan chiquitas, pero también las grandotas
Se mete los tragos y se monta en la nota
¿Y qué pasa si esta noche yo me llevo dos, dos?
Nos vamos en el carro y no sé ni cuánto
Y-Y si al otro día me preguntan que pasó (wow)

[Coro: Nicky Jam]
Échale la culpa al alcohol
Échale la culpa al alcohol
Échale la culpa al alcohol

[Verso 3: Nicky Jam]
Hoy todo se vale
Del loco que hablen, yo voy a seguir, ahh
Un trago, diez tragos, no importa, esta noche yo quiero vivirla
Mañana e' otro día, y creo que también yo voy a repetirla
A mí nadie me paga na', no me pagan na', yeah

[Pre-Coro: Nicky Jam]
Hay que tomar y no vamo' a parar
¿Quién quiere gozar?
Gritar y bailar
Y que no importe lo que te dirán
La vida es corta
No vamo' a parar

[Coro: Nicky Jam]
Échale la culpa al alcohol
Échale la culpa al alcohol
Échale la culpa al alcohol

[Outro: Nicky Jam]
Wow (wow, wow, wow)
N-I-C-K
Nicky-Nicky-Nicky Jam
La Industria Inc
Saga WhiteBlack (wow)
Steve Aoki (yeah)
Échale la culpa al alcohol (wow)"
You Make My Dreams (Come True),edurriva,['Daryl Hall & John Oates'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,"[Verse 1]
What I want, you've got
And it might be hard to handle
But like a flame that burns the candle
The candle feeds the flame
Yeah, yeah, what I've got, full stock
Of thoughts and dreams that scatter
And you pull them all together
And a-how, I can't explain

[Chorus]
Oh yeah, well, well you (Ooh, ooh, ooh ooh ooh)
You make a-my dreams come true
(You) You (You, you, ooh ooh ooh, you)
Well, well, well you (Ooh, ooh, ooh ooh ooh)
Oh yeah, a-you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Well yeah

[Verse 2]
On a night when bad
Dreams become a screamer
When they're messing with the dreamer
I can laugh it in the face
Twist and shout my way out
And wrap yourself around me
'Cause a-I ain't the way you found me
And I'll never be the same
[Chorus]
Oh yeah, well, 'cause you (Ooh, ooh, ooh ooh ooh)
Mmm hmm, you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Whoa yeah, well, well, well you (Ooh, ooh, ooh ooh ooh)
Woo woo, you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Oh yeah

[Instrumental Break]
Well, listen to this
Ow

[Bridge]
I'm down on my daydream
Oh, that sleepwalk should be over by now, I know

[Chorus]
Ah you
Yeah a-yeah, you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Oh yeah, I've been waiting for, waiting for you, girl
(Ooh, ooh, ooh ooh ooh)
Oh yeah, you make a-my dreams come true
(You, you, you, ooh ooh ooh, you)
Me, you, me, you, me
I've been waiting for, waiting for you, girl
(Ooh, ooh, ooh ooh ooh)
Oh my, you make a-my dreams come true
(You) Oh (You, you, ooh ooh ooh, you)
Whoa ooh whoa, I've been waiting for, waiting for, waiting for
(Ooh, ooh, ooh ooh ooh)
Waiting for, waiting for, waiting for, waiting
You make my dreams
(You, you, you, ooh ooh ooh, you)
Ooh ooh ooh ooh ooh ooh
Ooh ooh ooh ooh
I've been waiting for you, girl
(Ooh, ooh, ooh ooh ooh)
You make my dreams
(You, you, you, ooh ooh ooh, you)"
Sesenta memorias perdidas,edurriva,['Love of Lesbian'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,"[Letra de ""Sesenta memorias perdidas""]

Mirando ventanas, me puedo pasar
Un par de mañanas o una eternidad
Imaginando qué hay tras las cortinas

Luego aparece un camino sin ti
Y una alarma me suelta que, al irme a dormir
Tenía sesenta memorias perdidas

Pero, si un día me vieras flotando solo
Al fin podrías pensar
Que es oficial, por ti me he vuelto loco

De momento bien, vamos muy muy bien
Puedo ser capaz de volverlo a hacer
Si me olvido que es tu aniversario

La terapia va mejorándomе
Unos días soy y otros días sé
La nostalgia siempre deja frágil

Mi inconformismo еmocional
Me sigue pidiendo tu cama y ritual
Que son tus cielos en microdosis

A veces quisiera abrazar mucho más
El sello indeleble de toda amistad
Y, aunque lo sé, algunas veces soy frío

Siempre me dicen:
""Deja la cabeza y hazle caso a tu corazón""
Pero ¿Qué hacer cuando tu corazón está fatal de la puta cabeza?

De momento bien, vamos muy muy bien
Puedo ser capaz de volverlo a hacer
Si me olvido que es tu aniversario

Es solo que a veces cansa
Y nos agota el alma, la actuación

Son las seis de la mañana
No enciendas la luz
Aun no quiero entregar las armas
No enciendas la luz

Es solo que el tiempo pasa
Y siempre gana la competición
Es solo que a veces cansa
Y nos agota el alma, la actuación

Escapad, escapad
Sesenta memorias perdidas, y eras tú
Escapad, escapad

De momento bien, vamos muy muy bien"
El aire de la calle,1143571176,['Los Delinquentes'],5sB0ax3cmVacFjgkZMLPWx,Ironhack 🚀🚀🚀,"Yo me levanto temprano y me pongo a trabajar
Con mi guitarra en la mano yo nunca paro de cantar
Que a mí me llaman el descalzo porque en invierno uso chanclas
Y yo lo hago pa notarme y en el fresquito de la mañana
To el dia en la calle,en la plazuela tomando el aire

Soy bohemio de la vida, que yo no tengo nada que ver
Con los bigotes señoriales que se pasean por Jerez
Que yo no tengo obligaciones, y yo no tengo más que ver
Los charquitos de la plaza cuando termina de llover
Los dias de colores, en la plazuela fumando flores

Y el aire de la calle a mí me huele a goma fresca
Yo lo asumo, me lo fumo, y me escapo por la cuesta
Te quiero, te quiero, como las peras a los peros
Yo te amo, yo te amo, cuando te pierdo y cuando te gano

Los pantalones sin bolsillos pero los hilos no se amargan
Te canto en la alameda del banco te canto en la calle larga
Lo mismo te canto un fandango que yo te canto por triana
Solo quiero cuarenta pavos para dormirme y en una cama
No quiero amores,soy vagabundo y amante de la noche

El aire de la calle a mi me huele a goma fresca
Yo lo asumo me lo fumo y me escapo por la cuesta
Qué pena! mira qué pena! Que mi mechero no tiene piedra
Quién pudiera! Quién pudiera, pintar olores en la arena viva
Veneno negro yo tengo en la sangre
En mis brazos tengo cinco tatuajes
Ay! Pero nunca lloro porque vivo en carnavales
Me pongo la careta y me lanzo a la calle
Y me lanzo a la calle y me lanzo a la calle
Y me lanzo... a la calle"
